loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,sub_grade,emp_length,annual_inc,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,last_pymnt_amnt,pub_rec_bankruptcies,EMPLOYED_RATIO,EMPLOYED_TERM_RATIO,GRADE_DIST_TO_C3,FUND_LOAN_RATIO,FUND_INV_RATIO,ADJ_SALARY,ADJ_DTI,LOAN_PMNT_LEN,LAST_PMNT_RATIO,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding
5000,5000,4975.0,36,0.1065,162.87,2.2,10,24000.0,Fully Paid,27.65,0,1,3,0,13648,0.8370000000000001,9,171.62,0,0.2962962962962963,3.3333333333333335,0.49247648509779396,1.0,0.995,24000.0,24000.0,0.5686666666666667,0.034324,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2500,2500,2500.0,60,0.1527,59.83,3.6,1,30000.0,Charged Off,1.0,0,5,3,0,1687,0.094,4,119.66,0,0.05714285714285714,0.2,0.0,1.0,1.0,30000.0,30000.0,0.05623333333333334,0.047864,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2400,2400,2400.0,36,0.1596,84.33,3.8,10,12252.0,Fully Paid,8.72,0,2,2,0,2956,0.985,10,649.91,0,0.6417112299465241,3.3333333333333335,0.054067221270275745,1.0,1.0,9801.6,9801.6,0.24126673196212864,0.27079583333333335,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10000,10000,10000.0,36,0.1349,339.31,3.0,10,49200.0,Fully Paid,20.0,0,1,10,0,5598,0.21,37,357.48,0,0.49586776859504134,3.3333333333333335,0.18232155679395445,1.0,1.0,49200.0,49200.0,0.11378048780487805,0.035748,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3000,3000,3000.0,60,0.1269,67.79,2.8,1,80000.0,Fully Paid,17.94,0,0,15,0,27783,0.539,38,67.3,0,0.0449438202247191,0.2,0.2513144282809061,1.0,1.0,80000.0,80000.0,0.3472875,0.022433333333333333,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5000,5000,5000.0,36,0.079,156.46,1.6,3,36000.0,Fully Paid,11.2,0,3,9,0,7963,0.28300000000000003,12,161.03,0,0.24489795918367346,1.0,0.8109302162163285,1.0,1.0,36000.0,36000.0,0.22119444444444444,0.032206,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7000,7000,7000.0,60,0.1596,170.08,3.8,8,47004.0,Fully Paid,23.51,0,1,7,0,17726,0.856,11,1313.76,0,0.7164179104477612,1.6,0.054067221270275745,1.0,1.0,37603.200000000004,37603.200000000004,0.3771168411199047,0.18767999999999999,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3000,3000,3000.0,36,0.1864,109.43,5.0,9,48000.0,Fully Paid,5.35,0,2,4,0,8221,0.875,4,111.34,0,1.1368421052631579,3.0,0.32850406697203605,1.0,1.0,48000.0,48000.0,0.17127083333333334,0.03711333333333333,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5600,5600,5600.0,60,0.2128,152.39,6.2,4,40000.0,Charged Off,5.55,0,2,11,0,5210,0.326,13,152.39,0,0.32,0.8,0.5436154465889818,1.0,1.0,40000.0,40000.0,0.13025,0.027212499999999997,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5375,5375,5350.0,60,0.1269,121.45,2.8,1,15000.0,Charged Off,18.08,0,0,2,0,9279,0.365,3,121.45,0,0.08163265306122448,0.2,0.2513144282809061,1.0,0.9953488372093023,15000.0,15000.0,0.6186,0.022595348837209303,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6500,6500,6500.0,60,0.1465,153.45,3.4,5,72000.0,Fully Paid,16.12,0,2,14,0,4032,0.20600000000000002,23,1655.54,0,0.24793388429752067,1.0,0.057158413839948574,1.0,1.0,57600.0,57600.0,0.056,0.25469846153846154,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12000,12000,12000.0,36,0.1269,402.54,2.8,10,75000.0,Fully Paid,10.78,0,0,12,0,23336,0.6709999999999999,34,6315.3,0,0.4195804195804196,3.3333333333333335,0.2513144282809061,1.0,1.0,75000.0,75000.0,0.3111466666666667,0.526275,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
