loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,sub_grade,emp_length,annual_inc,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,last_pymnt_amnt,pub_rec_bankruptcies,EMPLOYED_RATIO,EMPLOYED_TERM_RATIO,GRADE_DIST_TO_C3,FUND_LOAN_RATIO,FUND_INV_RATIO,ADJ_SALARY,ADJ_DTI,LOAN_PMNT_LEN,LAST_PMNT_RATIO,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding
5000,5000,4975,36,0.1065,162.87,2.2,10,24000,Fully Paid,27.65,0,1,3,0,13648,0.837,9,171.62,0,0.296296296,3.333333333,0.492476485,1,0.995,24000,24000,0.568666667,0.034324,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2500,2500,2500,60,0.1527,59.83,3.6,1,30000,Charged Off,1,0,5,3,0,1687,0.094,4,119.66,0,0.057142857,0.2,0,1,1,30000,30000,0.056233333,0.047864,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2400,2400,2400,36,0.1596,84.33,3.8,10,12252,Fully Paid,8.72,0,2,2,0,2956,0.985,10,649.91,0,0.64171123,3.333333333,0.054067221,1,1,9801.6,9801.6,0.241266732,0.270795833,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10000,10000,10000,36,0.1349,339.31,3,10,49200,Fully Paid,20,0,1,10,0,5598,0.21,37,357.48,0,0.495867769,3.333333333,0.182321557,1,1,49200,49200,0.113780488,0.035748,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3000,3000,3000,60,0.1269,67.79,2.8,1,80000,Fully Paid,17.94,0,0,15,0,27783,0.539,38,67.3,0,0.04494382,0.2,0.251314428,1,1,80000,80000,0.3472875,0.022433333,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5000,5000,5000,36,0.079,156.46,1.6,3,36000,Fully Paid,11.2,0,3,9,0,7963,0.283,12,161.03,0,0.244897959,1,0.810930216,1,1,36000,36000,0.221194444,0.032206,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7000,7000,7000,60,0.1596,170.08,3.8,8,47004,Fully Paid,23.51,0,1,7,0,17726,0.856,11,1313.76,0,0.71641791,1.6,0.054067221,1,1,37603.2,37603.2,0.377116841,0.18768,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3000,3000,3000,36,0.1864,109.43,5,9,48000,Fully Paid,5.35,0,2,4,0,8221,0.875,4,111.34,0,1.136842105,3,0.328504067,1,1,48000,48000,0.171270833,0.037113333,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5600,5600,5600,60,0.2128,152.39,6.2,4,40000,Charged Off,5.55,0,2,11,0,5210,0.326,13,152.39,0,0.32,0.8,0.543615447,1,1,40000,40000,0.13025,0.0272125,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5375,5375,5350,60,0.1269,121.45,2.8,1,15000,Charged Off,18.08,0,0,2,0,9279,0.365,3,121.45,0,0.081632653,0.2,0.251314428,1,0.995348837,15000,15000,0.6186,0.022595349,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
